Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Al Jazeera English,@AJEnglish,2024-10-08T17:08:16.000Z,True,"""International law is unambiguous.""

UN chief Antonio Guterres says he “strongly condemns” all violations of international humanitarian law in Gaza and again called for the release of captives held by Hamas. LIVE updates: http://aje.io/2ef5wd",32,47,142,28K,[],[],['\\U0001f534'],https://pbs.twimg.com/profile_images/1818213127286087680/CtPVxlPF_normal.jpg,https://x.com/AJEnglish/status/1843699948241727841,tweet_id:1843699948241727841
WKTV,@WKTV,2024-10-15T18:30:01.000Z,False,Here are recent national and international headlines.,0,0,0,330,[],[],[],https://pbs.twimg.com/profile_images/1716886332851781633/18ZCUpdz_normal.jpg,https://x.com/WKTV/status/1846257237678825748,tweet_id:1846257237678825748
Somoy TV,@somoytv,2024-10-08T03:49:22.000Z,True,"সোমবার (৭ অক্টোবর) গা'জা যু'দ্ধে'র বর্ষপূর্তিতে বার্তা সংস্থা রয়টার্সের সঙ্গে দেয়া এক সাক্ষাৎকারে এসব কথা বলেন খালেদ মেশাল।

বিস্তারিত : https://somoynews.tv/news/2024-10-08/NKvIS84L…#InternationalNews #news #somoytv",5,11,430,4.8K,"['#InternationalNews', '#news', '#somoytv']",[],[],https://pbs.twimg.com/profile_images/1382563547469676544/U70E7-PZ_normal.jpg,https://x.com/somoytv/status/1843498898603868287,tweet_id:1843498898603868287
Tampa International Airport,@FlyTPA,2024-10-08T13:53:58.000Z,False,"TPA IS NOW CLOSED: TPA suspended operations at 9 a.m. Tuesday in preparation for Hurricane Milton.  Airport staff are now securing the airfield, terminals, jet bridges and ground equipment. 

LEARN MORE  https://news.tampaairport.com/tampa-international-airport-will-suspend-operations-early-tuesday-ahead-of-hurricane-milton/…",45,498,835,134K,[],[],"['\\u26c8\\ufe0f', '\\u27a1\\ufe0f']",https://pbs.twimg.com/profile_images/1145673490592403456/a06Ede38_normal.png,https://x.com/FlyTPA/status/1843651049124728883,tweet_id:1843651049124728883
الديوان الأميري,@AmiriDiwan,2024-10-16T15:58:02.000Z,True,سمو الأمير المفدى يترأس وفد دولة قطر في الجلسة الافتتاحية للقمة الأولى لمجلس التعاون لدول الخليج العربية والاتحاد الأوروبي، والتي عقدت بمبنى يوروبا مقر الاتحاد في العاصمة بروكسل بمملكة بلجيكا الصديقة، وسموه يلقي كلمة في الجلسة. https://bit.ly/3YaPBVq,12,91,228,12K,[],[],[],https://pbs.twimg.com/profile_images/1715036333301731328/85DWcMPQ_normal.jpg,https://x.com/AmiriDiwan/status/1846581375622586581,tweet_id:1846581375622586581
Greenpeace International,@Greenpeace,2024-10-09T12:00:20.000Z,True,"As #HurricaneMilton approaches, communities are forced to evacuate, leaving their homes behind.

People are suffering the consequences of extreme weather while fossil fuel companies continue to fuel the #ClimateCrisis  

Read more: https://act.gp/481GFGh",38,296,476,26K,"['#HurricaneMilton', '#ClimateCrisis']",[],['\\U0001f621'],https://pbs.twimg.com/profile_images/1675749167946432512/uSDy--SF_normal.jpg,https://x.com/Greenpeace/status/1843984841974702549,tweet_id:1843984841974702549
Al Jazeera English,@AJEnglish,2024-10-11T15:18:15.000Z,True,Hezbollah’s media chief has condemned some local and international news outlets for lending credence to Israeli justifications for attacking Lebanon and slammed the Lebanese government for inaction. LIVE updates: http://aje.io/9exkjc,16,39,108,37K,[],[],['\\U0001f534'],https://pbs.twimg.com/profile_images/1818213127286087680/CtPVxlPF_normal.jpg,https://x.com/AJEnglish/status/1844759423522066492,tweet_id:1844759423522066492
Jason Brodsky,@JasonMBrodsky,2024-10-15T14:37:18.000Z,True,"#BREAKING: A big designation today: the , in conjunction with #Canada, has finally sanctioned Samidoun under counterterrorism authorities as being an international fundraiser for #IRGCterrorists-backed PFLP.",14,150,378,57K,"['#BREAKING', '#Canada', '#IRGCterrorists']",['@USTreasury'],[],https://pbs.twimg.com/profile_images/1834386652417970176/r9JnbwLN_normal.jpg,https://x.com/JasonMBrodsky/status/1846198671810904353,tweet_id:1846198671810904353
الديوان الأميري,@AmiriDiwan,2024-10-16T15:58:02.000Z,True,سمو الأمير المفدى يترأس وفد دولة قطر في الجلسة الافتتاحية للقمة الأولى لمجلس التعاون لدول الخليج العربية والاتحاد الأوروبي، والتي عقدت بمبنى يوروبا مقر الاتحاد في العاصمة بروكسل بمملكة بلجيكا الصديقة، وسموه يلقي كلمة في الجلسة. https://bit.ly/3YaPBVq,12,91,228,12K,[],[],[],https://pbs.twimg.com/profile_images/1715036333301731328/85DWcMPQ_normal.jpg,https://x.com/AmiriDiwan/status/1846581375622586581,tweet_id:1846581375622586581
Philstar.com,@PhilstarNews,2024-10-13T10:08:15.000Z,True,"SEEKING JUSTICE FROM ICC

Families of extrajudicial killing victims are turning to the International Criminal Court in their pursuit of justice, as filing cases in the country has proven to be difficult, a human rights lawyer said.

Read: https://philstar.com/headlines/2024/10/13/2392220/families-ejk-victims-seek-justice-icc-trial-amid-challenges-filing-local-cases…",14,72,233,14K,[],[],[],https://pbs.twimg.com/profile_images/1680030555533094914/SYPGXvTB_normal.png,https://x.com/PhilstarNews/status/1845406185291382849,tweet_id:1845406185291382849
★,@theitvirgo,2024-10-11T13:26:06.000Z,False,"love when national news makes it a mission to broadcast each & every brilliant achievement of RM like yes that’s kim namjoon, the winner of 4 categories in the ciclope international festival of craft & an idol who is on a league on his own!",12,2.7K,11K,90K,[],[],[],https://pbs.twimg.com/profile_images/1845348890121207815/iJ3Rqqek_normal.jpg,https://x.com/theitvirgo/status/1844731201652760683,tweet_id:1844731201652760683
CNN International,@cnni,2024-10-10T09:57:25.000Z,True,"More than 3 million customers are without power as Hurricane Milton begins to exit Florida. Flash floods and storm surge may still pose a risk.

Follow live updates.",28,41,113,32K,[],[],[],https://pbs.twimg.com/profile_images/1605231418208034816/3zypo5XV_normal.jpg,https://x.com/cnni/status/1844316294964740148,tweet_id:1844316294964740148
Channel 4 News,@Channel4News,2024-10-14T11:28:08.000Z,True,"China has begun a new round of war games around Taiwan, deploying planes and vessels to practise blockading the island's ports and international shipping lanes. 

China described it as a warning to ""separatist acts of Taiwan independence forces"".",6,21,22,22K,[],[],[],https://pbs.twimg.com/profile_images/875404558528393216/cTknVhwm_normal.jpg,https://x.com/Channel4News/status/1845788676577435972,tweet_id:1845788676577435972
Excélsior,@Excelsior,2024-10-11T12:54:17.000Z,True, La información internacional más relevante del día la encontrarás en nuestra portada de #Global   http://excelsior.com.mx/global,0,3,5,2.1K,['#Global'],[],['\\U0001f30e'],https://pbs.twimg.com/profile_images/1846644679476916224/5N000R_M_normal.jpg,https://x.com/Excelsior/status/1844723193732370899,tweet_id:1844723193732370899
Washington Blade,@WashBlade,2024-10-16T10:04:56.000Z,False,Out in the World: LGBTQ news from Asia and Europe,0,0,1,218,[],[],[],https://pbs.twimg.com/profile_images/1265971252432441345/-XUgBXlY_normal.jpg,https://x.com/WashBlade/status/1846492516100550971,tweet_id:1846492516100550971
Can Yaman News International,@CanYamanNewsInt,2024-10-13T15:55:27.000Z,True,"Eva3000 - While waiting for #CanYaman to play Sandokan and El Turco, the Turkish series are all the rage on TV:

Waiting for #CanYamanThe actor and model Can Yaman, born on November 8, 1989 in Istanbul, is one of the most beloved faces of Turkish soap operas, who later",15,81,237,3.7K,"['#CanYaman', '#CanYaman']",[],"['\\U0001f1ee\\U0001f1f9', '\\U0001f5de\\ufe0f']",https://pbs.twimg.com/profile_images/1711962376877092864/nMBqa8OV_normal.jpg,https://x.com/CanYamanNewsInt/status/1845493561585725639,tweet_id:1845493561585725639
SHAH RUKH KHAN FANS ASSOCIATION,@Srk_bangalore,2024-10-13T15:26:53.000Z,True,"World Bollywood Day celebrated across the globe, with international news channels spotlighting ’s iconic journey and impact.  #ShahRukhKhan #SRK",22,188,301,4.2K,"['#ShahRukhKhan', '#SRK']",['@iamsrk'],"['\\U0001f30d', '\\u2728']",https://pbs.twimg.com/profile_images/1581538684868120576/3oRN5-hn_normal.jpg,https://x.com/Srk_bangalore/status/1845486373001667001,tweet_id:1845486373001667001
UN News,@UN_News_Centre,2024-10-16T21:05:00.000Z,True,"An estimated 260,000 people have crossed into #Syria from #Lebanon so far.  

WFP Deputy Executive Director  calls on the international community to step up & support.

Our coverage: https://news.un.org/en/story/2024/10/1155771…",1,15,13,3.7K,"['#Syria', '#Lebanon']",['@CarlSkau'],[],https://pbs.twimg.com/profile_images/1166788017354432512/SO_UaxYd_normal.jpg,https://x.com/UN_News_Centre/status/1846658626301448655,tweet_id:1846658626301448655
dave lawrence,@dave43law,2024-10-14T16:21:12.000Z,True,"For perspective the last Tory summit raised around £29billion

Record-breaking International Investment Summit secures £63 billion and nearly 38,000 jobs for the UK #ToriesAreOut #StarmerIsPM101 #farrightfails #toptierkeir",33,196,405,4.6K,"['#ToriesAreOut', '#StarmerIsPM101', '#farrightfails', '#toptierkeir']",[],[],https://pbs.twimg.com/profile_images/1324444454716137473/hiRYvaP3_normal.jpg,https://x.com/dave43law/status/1845862432033407473,tweet_id:1845862432033407473
Pakistan Peoples Party - PPP,@PPP_Org,2024-10-15T08:11:36.000Z,True,"Speaking at the inauguration ceremony of #BenazirHariCard on Monday, Chairman PPP  condemned the conspiracy being hatched by mafias, large business groups, industrialists and international forces to deregulate the agricultural sector.",2,68,105,1.2K,['#BenazirHariCard'],['@BBhuttoZardari'],[],https://pbs.twimg.com/profile_images/1498331677369663488/UPoIzR6h_normal.jpg,https://x.com/PPP_Org/status/1846101606380523528,tweet_id:1846101606380523528
Disaster News,@Top_Disaster,2024-10-08T17:39:49.000Z,True,"Scary view International Space Station passed over Hurricane Milton over the southern Gulf of Mexico  (08.10.2024)

TELEGRAM JOIN  https://t.me/Disaster_News",2,72,171,8.5K,[],[],"['\\U0001f1f2\\U0001f1fd', '\\U0001f449']",https://pbs.twimg.com/profile_images/1648563965080002561/LMK-PL5f_normal.jpg,https://x.com/Top_Disaster/status/1843707886100525186,tweet_id:1843707886100525186
The International Magazine,@TheIntlMagz,2023-03-26T19:38:24.000Z,False,"One more govt in the western hemisphere asks for help from #CubaIrish Council has asked for help to alleviate the shortage of doctors at a hospital where surgeries have had to be suspended

Cuba under sanctions , Ready to Help!",3,147,370,15K,['#Cuba'],[],"['\\U0001f1e8\\U0001f1fa', '\\U0001f1fa\\U0001f1f8']",https://pbs.twimg.com/profile_images/1306888374595141633/B1xgyiVy_normal.jpg,https://x.com/TheIntlMagz/status/1640075747862753285,tweet_id:1640075747862753285
Good News From Indonesia,@GNFI,2024-10-12T05:22:38.000Z,True,"Nova Liana akan mengenakan national costume bertemakan kuliner Sumatra Barat “The Royal Flavors of Payakumbuah” di ajang Miss Grand International 2024

Nova Liana yang dinobatkan sebagai Miss Mega Bintang 2024, akan menjadi perwakilan Indonesia di ajang Miss Grand International",2,15,46,8.1K,[],[],[],https://pbs.twimg.com/profile_images/1380559316999008259/YCIKEY2t_normal.jpg,https://x.com/GNFI/status/1844971919961096631,tweet_id:1844971919961096631
Kim Soo Hyun 김수현 International,@SOOHYUN_INTL,2024-10-16T01:59:47.000Z,True,[NEWS] #QueenOfTears has been nominated for Best Scriptwriting at the 29th Asian Television Awards (ATA).,0,159,1.1K,12K,['#QueenOfTears'],[],[],https://pbs.twimg.com/profile_images/1831570004980199424/pciPl-TT_normal.jpg,https://x.com/SOOHYUN_INTL/status/1846370423610790172,tweet_id:1846370423610790172
Progressive International,@ProgIntl,2024-10-10T15:24:13.000Z,True,"READ NOW  on the Reactionary International:

EU hands €1.2m to charity that spreads disinformation about sexual and reproductive rights to teens and women globally.",2,10,23,2.5K,[],[],['\\U0001f310'],https://pbs.twimg.com/profile_images/1258161576491708419/Z6LlKxsf_normal.jpg,https://x.com/ProgIntl/status/1844398536412234237,tweet_id:1844398536412234237
Joe Patriot,@maga4joe,2024-10-16T18:50:00.000Z,True,Great news! Democrats are abandoning the criminal Democrat party. The traditional Democrat party is long gone. They have become an international crimes syndicate. MAGA! Vote TRUMP!,2,29,31,465,[],[],[],https://pbs.twimg.com/profile_images/1786148729374064643/ANLiG2Wn_normal.jpg,https://x.com/maga4joe/status/1846624652543905996,tweet_id:1846624652543905996
Somoy TV,@somoytv,2024-10-09T08:34:05.000Z,True,"উপসাগরীয় এই ছয়টি দেশে ইসরাইলের পরমমিত্র যুক্তরাষ্ট্রের সামরিক ঘাঁটি ও সেনা রয়েছে।

বিস্তারিত: https://somoynews.tv/news/2024-10-09/GEC2LVJH…#somoytv #iran #saudiarabia #InternationalNews",3,16,374,5.4K,"['#somoytv', '#iran', '#saudiarabia', '#InternationalNews']",[],[],https://pbs.twimg.com/profile_images/1382563547469676544/U70E7-PZ_normal.jpg,https://x.com/somoytv/status/1843932936372138344,tweet_id:1843932936372138344
ABC News Politics,@ABCPolitics,2024-10-09T20:05:21.000Z,True,"White House press sec. Karine Jean-Pierre says she can't confirm reports that former Pres. Trump spoke with Russian Pres. Vladimir Putin several times after leaving office.

""If it is indeed true, are we concerned? Do we have serious concerns? Yes."" https://trib.al/s7sN1t2",19,17,26,4K,[],[],[],https://pbs.twimg.com/profile_images/1605273759484616726/IKY1ASZQ_normal.jpg,https://x.com/ABCPolitics/status/1844106900813598933,tweet_id:1844106900813598933
Amnesty International,@amnesty,2024-10-14T15:47:24.000Z,True,"A new  report highlights how Philippine authorities are using Facebook in red-tagging campaigns, vilifying and targeting young activists investigating and exposing human rights abuses by government entities. 

Read more ",4,32,51,7.1K,[],['@Amnesty'],['\\U0001f447'],https://pbs.twimg.com/profile_images/1103357372410617856/0V1h5QGq_normal.png,https://x.com/amnesty/status/1845853924156166563,tweet_id:1845853924156166563
Press Trust of India,@PTI_News,2024-10-11T03:59:02.000Z,True,"VIDEO | Security beefed up outside Samajwadi Party chief Akhilesh Yadav's residence in #Lucknow.

Akhilesh Yadav is likely to visit Jayaprakash Narayan International Centre to pay tributes to socialist stalwart and anti-Emergency movement icon Jayaprakash Narayan on his birth",2,6,27,7.3K,['#Lucknow'],[],[],https://pbs.twimg.com/profile_images/1618421776794677248/EYJex5NK_normal.jpg,https://x.com/PTI_News/status/1844588495928455325,tweet_id:1844588495928455325
Press Trust of India,@PTI_News,2024-10-14T07:31:44.000Z,True,"STORY | 3 international flights from Mumbai receive bomb threats

READ: https://ptinews.com/story/national/3-international-flights-from-Mumbai-receive-bomb-threats/1900802…",5,8,15,4.2K,[],[],[],https://pbs.twimg.com/profile_images/1618421776794677248/EYJex5NK_normal.jpg,https://x.com/PTI_News/status/1845729184183714288,tweet_id:1845729184183714288
FC Barcelona,@FCBarcelona,2024-10-09T17:00:00.000Z,True," Eight Barça players are away with their national teams over the next few days. Let's find out where they're going. 
ᴀʟʟ ᴛʜᴇ ᴅᴇᴛᴀɪʟꜱ, ʙᴇʟᴏᴡ ",75,82,1.6K,92K,[],[],"['\\U0001f5fa\\ufe0f', '\\U0001f447']",https://pbs.twimg.com/profile_images/1834115251274452992/7m_GC0Wu_normal.jpg,https://x.com/FCBarcelona/status/1844060254461448574,tweet_id:1844060254461448574
UN News,@UN_News_Centre,2024-10-14T17:11:50.000Z,True,"The role of  right now more crucial than ever, says Mission spokesperson 

“We are staying ... we are in south of Lebanon under a Security Council mandate. So it’s important to keep an international presence and to keep the UN flag in the area”https://news.un.org/en/story/2024/10/1155681…",74,153,256,34K,[],['@UNIFIL_'],[],https://pbs.twimg.com/profile_images/1166788017354432512/SO_UaxYd_normal.jpg,https://x.com/UN_News_Centre/status/1845875170818285811,tweet_id:1845875170818285811
Can Yaman News International,@CanYamanNewsInt,2024-10-14T18:56:23.000Z,True,#CanYaman  14/10/2024 Premiere of Megalopolis,15,124,333,3.3K,['#CanYaman'],[],"['\\U0001f4a5', '\\U0001f4a5', '\\U0001f4a5']",https://pbs.twimg.com/profile_images/1711962376877092864/nMBqa8OV_normal.jpg,https://x.com/CanYamanNewsInt/status/1845901483335643323,tweet_id:1845901483335643323
Red+ Noticias,@RedMasNoticias,2024-10-14T01:18:19.000Z,True,"#Mundo | Estas son las noticias en materia internacional para este domingo 13 de octubre.

Informa:  

Más detalles en http://redmas.com.co",0,3,3,1K,['#Mundo'],['@Angela_OnAir'],[],https://pbs.twimg.com/profile_images/1729845749330915328/Ar_2pNXo_normal.jpg,https://x.com/RedMasNoticias/status/1845635212128211162,tweet_id:1845635212128211162
Al Jazeera English,@AJEnglish,2022-02-27T22:36:08.000Z,True,"As the Russian invasion of Ukraine enters its fourth day, below is a roundup of some of the major international stories you might have missed   http://aje.io/r5qr3y",9,47,245,0,[],[],['\\u27a1\\ufe0f'],https://pbs.twimg.com/profile_images/1818213127286087680/CtPVxlPF_normal.jpg,https://x.com/AJEnglish/status/1498064434891300866,tweet_id:1498064434891300866
Press Trust of India,@PTI_News,2024-10-11T07:16:35.000Z,True,VIDEO | Visuals of inaugural landing of IAF C-295 aircraft at Navi Mumbai International Airport. This is the first aircraft landing at the upcoming airport.#NaviMumbaiAirport(Full video available on PTI Videos - http://ptivideos.com),4,14,56,11K,['#NaviMumbaiAirport'],[],[],https://pbs.twimg.com/profile_images/1618421776794677248/EYJex5NK_normal.jpg,https://x.com/PTI_News/status/1844638210682503294,tweet_id:1844638210682503294
US Civil Defense News,@CaptCoronado,2024-10-15T12:05:12.000Z,True,"Update: “I hereby announce that we have weapons stronger than nuclear bombs!” 
- Former head of IRGC international relations, Sardar Ebrahim Rostami",51,75,299,21K,[],[],['\\U0001f6a8'],https://pbs.twimg.com/profile_images/1626215221349208066/vpOEZWC4_normal.jpg,https://x.com/CaptCoronado/status/1846160393976119368,tweet_id:1846160393976119368
ABC News,@ABC,2024-10-14T02:47:42.000Z,True,Israeli Prime Minister Benjamin Netanyahu is examining a plan to seal off humanitarian aid to northern Gaza in an attempt to starve out Hamas militants.,33,18,35,39K,[],[],[],https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg,https://x.com/ABC/status/1845657708352938370,tweet_id:1845657708352938370
Saffina Ellahi,@SaffinaEllahi1,2024-10-14T10:19:15.000Z,True,"Go extra mile for global reach as seen below 
Any protest/demonstrations MUST display message in ENGLISH placards
Speak to cameras in ENGLISH - speak of he human rights abuses and the dismantling of democracy where freedom of every kind is being bannedInternational news needs",7,642,1K,23K,[],[],[],https://pbs.twimg.com/profile_images/1842510867373383680/fh3_Cg9O_normal.jpg,https://x.com/SaffinaEllahi1/status/1845771344132075694,tweet_id:1845771344132075694
Variety,@Variety,2024-10-15T20:02:06.000Z,True,"Animation distributor GKIDS has been acquired by Japan’s Toho.

GKIDS will become a wholly-owned subsidiary of the Los Angeles-based Toho International.",4,67,113,21K,[],[],[],https://pbs.twimg.com/profile_images/1610752949550186496/X5zYP9oV_normal.jpg,https://x.com/Variety/status/1846280409707172129,tweet_id:1846280409707172129
CNN International,@cnni,2024-10-13T12:39:24.000Z,True,"SpaceX lands Starship's rocket booster in the arms of massive metal pincers, marking a huge success in its fifth test flight.",50,58,231,40K,[],[],[],https://pbs.twimg.com/profile_images/1605231418208034816/3zypo5XV_normal.jpg,https://x.com/cnni/status/1845444224939876584,tweet_id:1845444224939876584
CBS News,@CBSNews,2024-10-14T14:15:00.000Z,True,"A British woman who died after being exposed to the Soviet-era nerve agent Novichok was unwittingly caught up in an ""illegal and outrageous international assassination attempt,"" a public inquiry was told.",22,24,36,20K,[],[],[],https://pbs.twimg.com/profile_images/1617634745348661249/6YmPYpNd_normal.jpg,https://x.com/CBSNews/status/1845830671823982811,tweet_id:1845830671823982811
JB | Polisci,@cdnpoli101,2024-10-14T17:11:52.000Z,True,International Press is now picking up the story mainly focusing on the murder allegations.,5,87,322,9.6K,[],[],[],https://pbs.twimg.com/profile_images/1802124522432204800/nrsMmtty_normal.jpg,https://x.com/cdnpoli101/status/1845875182155473058,tweet_id:1845875182155473058
ABC News,@ABC,2024-10-15T13:54:08.000Z,True,"Relations between India and Canada are at a low point as the countries expelled each other's top diplomats over an ongoing dispute about the killing of a Sikh activist in Canada.

How did we get here? https://trib.al/YISzEsc",22,10,24,22K,[],[],[],https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg,https://x.com/ABC/status/1846187805514305793,tweet_id:1846187805514305793
OUR TODAY,@Our_Today_News,2024-10-16T17:37:37.000Z,True,"Caymanas Park set for growth through international investment

Visit the link to read more:https://bit.ly/3YqDQLTPhoto: Contributed

Follow us:
FB: http://facebook.com/our.today.newsYT: OurToday
X: Our_Today_",0,0,0,15,"['', '', '', '', '']",[''],[],https://pbs.twimg.com/profile_images/1745521290092453888/rl9bBlHI_normal.jpg,https://x.com/Our_Today_News/status/1846606436253508046,tweet_id:1846606436253508046
ABC News,@ABC,2024-10-14T13:34:00.000Z,True,"Video shows multiple interceptions in the sky over northern Israel Sunday evening.

Hezbollah issued 38 statements claiming cross-border attacks into Israel on Sunday — the highest tally since renewed fighting began on Oct. 8, 2023, per  News' count. https://abcnews.visitlink.me/qGoGx0",20,14,24,27K,[],['@ABC'],[],https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg,https://x.com/ABC/status/1845820352569516482,tweet_id:1845820352569516482
Sky News,@SkyNews,2024-10-14T09:39:16.000Z,True,"PM Keir Starmer tells business leaders at the International Investment Summit that they are there because ""private sector investment is the way we rebuild our country and pay our way in the world"", adding that this is ""a great moment to back Britain"". https://trib.al/qz4Ybwf",43,25,53,46K,[],[],['\\u27a1\\ufe0f'],https://pbs.twimg.com/profile_images/1604907328242962433/P_79at43_normal.jpg,https://x.com/SkyNews/status/1845761278993727688,tweet_id:1845761278993727688
Khalissee,@Kahlissee,2024-10-14T16:45:21.000Z,True,"Zionism is one video

If roles were reversed, this would have made international news",1.3K,8.9K,20K,669K,[],[],[],https://pbs.twimg.com/profile_images/1639831097952333825/kV2f9VQn_normal.jpg,https://x.com/Kahlissee/status/1845868507415654425,tweet_id:1845868507415654425
ABC News,@ABC,2024-10-09T18:41:05.000Z,True,"NASA captured an aerial view far above Earth of Hurricane Milton as it approaches Florida.

See more pictures of the storm from space, captured by the International Space Station: https://abcnews.go.com/US/hurricane-milton-monstrous-storm-space-station/story?id=114646209…",9,44,97,40K,[],[],[],https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg,https://x.com/ABC/status/1844085692495954208,tweet_id:1844085692495954208
ABC News,@ABC,2024-10-13T06:03:38.000Z,True,"The average size of global wildlife populations have declined by 73% in 50 years, a new study by the World Wildlife Fund has found.

Read more: https://trib.al/FbLYsvc",22,36,66,31K,[],[],[],https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg,https://x.com/ABC/status/1845344625936003158,tweet_id:1845344625936003158
BBC Politics,@BBCPolitics,2024-10-15T10:21:11.000Z,True,"David Cameron urges UK to consider sanctioning two Israeli ministers as way of ""putting pressure"" on the country to act within international law",75,70,161,25K,[],[],[],https://pbs.twimg.com/profile_images/1150756359497015298/xXj2IfkW_normal.png,https://x.com/BBCPolitics/status/1846134217605894445,tweet_id:1846134217605894445
Viral News NYC,@ViralNewsNYC,2024-10-09T17:08:33.000Z,True,"Alleged ISIS terrorist applied for refugee status in Canada as a gay man

20-year-old Mohammad Shahzeb Khan, an international student from Pakistan studying in Canada, is accused of plotting a mass shooting attack to “slaughter as many Jewish civilians as possible” around the",13,197,342,9.5K,[],[],[],https://pbs.twimg.com/profile_images/1490027619441590273/YskMMmYs_normal.jpg,https://x.com/ViralNewsNYC/status/1844062407842480469,tweet_id:1844062407842480469
Al Jazeera English,@AJEnglish,2024-10-16T17:26:37.000Z,True,"As Israel attacks the UN's mission in Lebanon and calls for its removal, experts warn a withdrawal will make it impossible to monitor violations of international law.

Read here: http://aje.io/tmqah4",58,226,404,34K,[],[],[],https://pbs.twimg.com/profile_images/1818213127286087680/CtPVxlPF_normal.jpg,https://x.com/AJEnglish/status/1846603668180574379,tweet_id:1846603668180574379
Devasena...,@DevasenaTweetsz,2024-10-16T15:38:15.000Z,True,"Here are some key international news stories from today, October 16, 2024:

Ukraine Conflict: President Zelenskyy is set to present a ""victory plan"" to the Ukrainian parliament amid ongoing military challenges and limited resources.
China-Taiwan Tensions: China reiterated its",135,1,106,624,[],[],[],https://pbs.twimg.com/profile_images/1829220509885607938/oLjUucAa_normal.jpg,https://x.com/DevasenaTweetsz/status/1846576399022449073,tweet_id:1846576399022449073
GMA Integrated News,@gmanews,2024-10-08T06:46:31.000Z,True,"The Bureau of Immigration confirmed that Alice Guo entered Kuala Lumpur International Airport last July 18, going against their earlier report which denied the intel.

“Buti pa si Senator Risa, alam. Kayo, hindi alam… Ibig mong sabihin na mas magaling intelligence niya?” said",34,129,549,114K,[],[],[],https://pbs.twimg.com/profile_images/1700474798563110912/l146nN3-_normal.jpg,https://x.com/gmanews/status/1843543478233633144,tweet_id:1843543478233633144
The Nation Nigeria,@TheNationNews,2024-10-14T15:34:07.000Z,True,"VIDEO: Moment Super Eagles departed Libya hours after detainment at airport

Hours after the Libyan government held Nigeria Super Eagles players hostage at Al Abraq International Airport, they agreed to issue clearance for ValueJet Airline to fly and sell aviation fuel to the",18,27,86,23K,[],[],[],https://pbs.twimg.com/profile_images/1745417869762891776/_z_YP090_normal.jpg,https://x.com/TheNationNews/status/1845850581698597041,tweet_id:1845850581698597041
ABC News,@ABC,2024-10-09T07:30:00.000Z,True,"ON THIS DAY: Fifteen years ago, former Pres. Barack Obama won the Nobel Peace Prize for what the Norwegian Nobel Committee called “his extraordinary efforts to strengthen international diplomacy and cooperation between peoples.” https://abcnews.visitlink.me/yGYmBY",40,21,104,20K,[],[],[],https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg,https://x.com/ABC/status/1843916809608863964,tweet_id:1843916809608863964
ABC News,@ABC,2024-10-14T23:37:04.000Z,True,"One year after Rachel and Jon Goldberg-Polin's son, Hersh, was taken hostage by Hamas after the Oct. 7 attack, they sat down with ABC's Matt Gutman to reflect on grief, loss and their mission.

Read more: https://trib.al/5WthuC7",13,10,52,31K,[],[],[],https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg,https://x.com/ABC/status/1845972120729166324,tweet_id:1845972120729166324
John Longworth,@john4brexit,2024-10-10T08:59:15.000Z,True,"Nothing is so bad that it cannot be made even worse, welcome to Sir Keir Starmer’s Britain: mass immigration  and relentless decline, laced with class and generational warfare, justified on the grounds of “equality”, “morality”, and “international law”.",9,94,229,2.3K,[],[],[],https://pbs.twimg.com/profile_images/1118453190842884096/WEJTS0kB_normal.png,https://x.com/john4brexit/status/1844301659196784853,tweet_id:1844301659196784853
ABC News,@ABC,2024-10-14T12:35:53.000Z,True,"This makeshift school is one of the few places in Gaza where, after a year of war, children can still get an education.

Some 625,000 children in Gaza have been unable to attend school since the war began, according to the United Nations.https://trib.al/Dx7bpcL",43,20,36,31K,[],[],[],https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg,https://x.com/ABC/status/1845805725680841022,tweet_id:1845805725680841022
Press Trust of India,@PTI_News,2024-10-16T15:22:18.000Z,True,"STORY | Canadian MP calls for PM Trudeau's resignation as Liberal leader amid diplomatic row with India

READ: https://ptinews.com/story/international/Canadian-MP-calls-for-PM-Trudeau-s-resignation-as-Liberal-leader-amid-diplomatic-row-with-India/1908237…",1,7,30,4.4K,[],[],[],https://pbs.twimg.com/profile_images/1618421776794677248/EYJex5NK_normal.jpg,https://x.com/PTI_News/status/1846572381436887277,tweet_id:1846572381436887277
